Mode,LineAbbr,Month,Year,ServiceType,AvgBoardings,City,County,ObjectId
Commuter Rail,750,January,2017,SAT,6758,"Farmington, W Bountiful, Midvale, Kaysville, Vineyard, Draper, Lehi, Clearfield, Harrisville, Sunset, Ogden, Millcreek, Lindon, N Salt Lake, Orem, S Jordan, Woods Cross, Layton, S Salt Lake, Bluffdale, American Fork, Sandy, SLC, Pleasant View, Roy","Utah, Weber, Davis, Salt Lake",1
Commuter Rail,750,January,2017,WKD,17856,"Farmington, W Bountiful, Midvale, Kaysville, Vineyard, Draper, Lehi, Clearfield, Harrisville, Sunset, Ogden, Millcreek, Lindon, N Salt Lake, Orem, S Jordan, Woods Cross, Layton, S Salt Lake, Bluffdale, American Fork, Sandy, SLC, Pleasant View, Roy","Utah, Weber, Davis, Salt Lake",2
Commuter Rail,750,February,2017,SAT,7195,"Farmington, W Bountiful, Midvale, Kaysville, Vineyard, Draper, Lehi, Clearfield, Harrisville, Sunset, Ogden, Millcreek, Lindon, N Salt Lake, Orem, S Jordan, Woods Cross, Layton, S Salt Lake, Bluffdale, American Fork, Sandy, SLC, Pleasant View, Roy","Utah, Weber, Davis, Salt Lake",3
Commuter Rail,750,February,2017,WKD,17747,"Farmington, W Bountiful, Midvale, Kaysville, Vineyard, Draper, Lehi, Clearfield, Harrisville, Sunset, Ogden, Millcreek, Lindon, N Salt Lake, Orem, S Jordan, Woods Cross, Layton, S Salt Lake, Bluffdale, American Fork, Sandy, SLC, Pleasant View, Roy","Utah, Weber, Davis, Salt Lake",4
Commuter Rail,750,March,2017,SAT,8591,"Farmington, W Bountiful, Midvale, Kaysville, Vineyard, Draper, Lehi, Clearfield, Harrisville, Sunset, Ogden, Millcreek, Lindon, N Salt Lake, Orem, S Jordan, Woods Cross, Layton, S Salt Lake, Bluffdale, American Fork, Sandy, SLC, Pleasant View, Roy","Utah, Weber, Davis, Salt Lake",5
Commuter Rail,750,March,2017,WKD,17446,"Farmington, W Bountiful, Midvale, Kaysville, Vineyard, Draper, Lehi, Clearfield, Harrisville, Sunset, Ogden, Millcreek, Lindon, N Salt Lake, Orem, S Jordan, Woods Cross, Layton, S Salt Lake, Bluffdale, American Fork, Sandy, SLC, Pleasant View, Roy","Utah, Weber, Davis, Salt Lake",6
Commuter Rail,750,April,2017,SAT,7706,"Farmington, W Bountiful, Midvale, Kaysville, Vineyard, Draper, Lehi, Clearfield, Harrisville, Sunset, Ogden, Millcreek, Lindon, N Salt Lake, Orem, S Jordan, Woods Cross, Layton, S Salt Lake, Bluffdale, American Fork, Sandy, SLC, Pleasant View, Roy","Utah, Weber, Davis, Salt Lake",7
Commuter Rail,750,April,2017,WKD,16963,"Farmington, W Bountiful, Midvale, Kaysville, Vineyard, Draper, Lehi, Clearfield, Harrisville, Sunset, Ogden, Millcreek, Lindon, N Salt Lake, Orem, S Jordan, Woods Cross, Layton, S Salt Lake, Bluffdale, American Fork, Sandy, SLC, Pleasant View, Roy","Utah, Weber, Davis, Salt Lake",8
Commuter Rail,750,May,2017,SAT,6437,"Farmington, W Bountiful, Midvale, Kaysville, Vineyard, Draper, Lehi, Clearfield, Harrisville, Sunset, Ogden, Millcreek, Lindon, N Salt Lake, Orem, S Jordan, Woods Cross, Layton, S Salt Lake, Bluffdale, American Fork, Sandy, SLC, Pleasant View, Roy","Utah, Weber, Davis, Salt Lake",9
Commuter Rail,750,May,2017,WKD,16428,"Farmington, W Bountiful, Midvale, Kaysville, Vineyard, Draper, Lehi, Clearfield, Harrisville, Sunset, Ogden, Millcreek, Lindon, N Salt Lake, Orem, S Jordan, Woods Cross, Layton, S Salt Lake, Bluffdale, American Fork, Sandy, SLC, Pleasant View, Roy","Utah, Weber, Davis, Salt Lake",10
